ticker,sector,last,chg_%,z,vol_x,wk_%,vs_hi_%,rsi
VMC,Materials,285.1,0.53,0.25,0.9,-1.15,-13.4,50.0
VRSK,Industrials,192.8,-0.16,-0.07,0.61,-9.17,-10.1,48.8
VRSN,Information Technology,299.2,0.1,0.05,0.9,6.42,-3.5,67.3
VRT,Industrials,269.93,2.62,0.53,0.92,0.14,-28.2,45.0
VRTX,Health Care,478.7,1.7,0.97,1.33,-2.38,-9.6,49.7
VST,Utilities,143.23,-8.15,-2.69,2.42,-3.64,-18.8,40.6
VTR,Real Estate,90.85,0.0,0.0,0.95,-7.43,-9.6,44.2
VTRS,Health Care,17.7,0.4,0.18,0.97,-0.9,-0.9,60.8
VZ,Communication Services,46.88,-1.01,-0.56,0.59,-2.72,-5.8,59.1
WAB,Industrials,299.07,0.88,0.41,0.57,-2.2,-2.2,64.9
WAT,Health Care,396.08,5.69,2.86,2.06,3.17,0.0,63.0
WBD,Communication Services,25.79,-1.15,-0.94,1.4,0.7,-11.5,44.2
WDAY,Information Technology,171.28,3.77,0.88,0.68,7.26,0.0,67.1
WDC,Information Technology,548.56,4.05,0.65,1.05,18.35,-26.5,51.6
WEC,Utilities,109.25,-0.03,-0.02,0.99,-3.84,-8.1,36.5
WELL,Real Estate,231.57,-0.66,-0.38,1.2,-4.93,-8.1,45.4
WFC,Financials,88.39,0.57,0.34,0.53,1.75,-6.0,58.7
WM,Industrials,225.25,-0.52,-0.34,1.65,-5.91,-7.9,42.0
WMB,Energy,71.51,1.53,0.93,1.75,1.92,-9.3,44.7
WMT,Consumer Staples,111.55,0.76,0.44,1.41,-1.37,-16.9,45.8
WRB,Financials,71.39,-0.97,-0.61,1.01,-6.28,-6.3,47.2
WSM,Consumer Discretionary,248.88,3.79,1.62,1.75,5.31,0.0,68.5
WST,Health Care,348.76,0.24,0.13,0.41,3.56,-4.6,53.3
WTW,Financials,339.63,-0.59,-0.29,1.01,7.42,-0.6,79.3
WY,Real Estate,25.83,2.38,1.22,0.8,4.96,-3.0,63.6
WYNN,Consumer Discretionary,97.6,-0.77,-0.42,1.63,-1.43,-16.9,46.9
XEL,Utilities,77.75,0.08,0.06,0.91,-3.21,-6.0,41.0
XLM-USD,Crypto,0.17,-0.73,-0.22,0.83,-1.15,-35.0,38.2
XOM,Energy,153.96,-0.71,-0.4,0.96,0.6,-9.6,59.3
XRP-USD,Crypto,1.08,0.21,0.09,0.94,-0.64,-30.2,46.1
XYL,Industrials,122.17,2.59,1.54,0.58,-2.24,-13.4,56.5
XYZ,Financials,84.64,3.11,1.16,1.0,1.85,0.0,64.1
YUM,Consumer Discretionary,147.68,-0.75,-0.47,0.67,-1.73,-11.8,41.3
ZBH,Health Care,95.81,-1.21,-0.58,1.58,0.06,-4.6,58.7
ZBRA,Information Technology,368.83,26.47,8.51,3.64,29.69,0.0,85.2
ZTS,Health Care,76.04,-1.37,-0.4,1.4,-1.9,-41.3,48.2
